Id Arbeidssted;Forvalt.location.coordinates.XCoordinate;Forvalt.location.coordinates.YCoordinate;ArbeidsstedOgTariffavtale.ID Tariffavtale
50351635;9,85266643;63,29771709;50351635 210100 - Virke Landsoverenskomsten
50351635;9,85266643;63,29771709;50351635 210100 - Virke Landsoverenskomsten
50318940;14,14372882;66,32109;50318940 210100 - Virke Landsoverenskomsten
50309201;17,98028047;69,2292318;50309201 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50317264;6,83630483;58,38435612;50317264 210100 - Virke Landsoverenskomsten
50314322;10,83603085;59,7164168;50314322 210100 - Virke Landsoverenskomsten
50354500;11,13583469;60,0717663;50354500 210200 - PU Virke Landsoverenskomsten
50304648;5,849663392;62,34249958;50304648 210100 - Virke Landsoverenskomsten
50349042;5,84960481;58,76782648;50349042 210100 - Virke Landsoverenskomsten
60002624;5,23362819;60,36322021;60002624 210100 - Virke Landsoverenskomsten
60003877;10,45022581;61,11477808;60003877 210100 - Virke Landsoverenskomsten
60003441;7,0940441;62,62237883;60003441 210100 - Virke Landsoverenskomsten
60000648;5,64012452;58,73559721;60000648 210100 - Virke Landsoverenskomsten
50353498;10,51949571;59,8905829;50353498 210100 - Virke Landsoverenskomsten
50006996;18,95818005;69,6519372;50006996 210100 - Virke Landsoverenskomsten
50258806;5,73792671;58,85162623;50258806 210100 - Virke Landsoverenskomsten
50262179;10,70323988;59,4462476;50262179 210100 - Virke Landsoverenskomsten
50262144;8,56566547;62,67264453;50262144 210100 - Virke Landsoverenskomsten
50252795;12,22097439;65,48066513;50252795 210100 - Virke Landsoverenskomsten
50318212;14,1482287;66,30530889;50318212 210100 - Virke Landsoverenskomsten
50309772;17,42285948;68,43820972;50309772 210100 - Virke Landsoverenskomsten
50309581;11,56256003;60,88490127;50309581 210100 - Virke Landsoverenskomsten
50314441;11,50634368;64,46433336;50314441 210100 - Virke Landsoverenskomsten
50308112;5,3437918;60,37151884;50308112 210100 - Virke Landsoverenskomsten
50349221;5,32256195;60,39365594;50349221 210100 - Virke Landsoverenskomsten
50354955;10,74052074;59,91217754;50354955 210100 - Virke Landsoverenskomsten
60001690;5,32685674;59,39707474;60001690 210100 - Virke Landsoverenskomsten
60003472;11,07258895;60,02503277;60003472 210100 - Virke Landsoverenskomsten
50344120;10,4272064;61,13465894;50344120 210100 - Virke Landsoverenskomsten
50350146;12,20828262;65,47282633;50350146 210100 - Virke Landsoverenskomsten
50352970;12,20828262;65,47282633;50352970 210100 - Virke Landsoverenskomsten
50346493;9,72589781;61,59440628;50346493 210100 - Virke Landsoverenskomsten
50351176;11,56142082;59,89204815;50351176 210100 - Virke Landsoverenskomsten
60000977;10,95837081;59,92756746;60000977 210100 - Virke Landsoverenskomsten
50328264;10,808476;59,890003;50328264 210100 - Virke Landsoverenskomsten
50351073;6,23570218;62,47219182;50351073 213100 - Virke Bok og Papiravtalen
50353519;9,66559096;59,1354635;50353519 210200 - PU Virke Landsoverenskomsten
50354481;5,30788142;59,37792906;50354481 210100 - Virke Landsoverenskomsten
50327230;5,626291296;58,77931345;50327230 210100 - Virke Landsoverenskomsten
50326751;11,10479483;60,18959144;50326751 213100 - Virke Bok og Papiravtalen
50302252;10,83535822;59,71745911;50302252 210100 - Virke Landsoverenskomsten
50346439;20,97829729;70,03392659;50346439 210100 - Virke Landsoverenskomsten
50350059;5,29974555;60,37177426;50350059 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50326109;10,79344247;59,91647982;50326109 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50308660;11,49253863;64,01028402;50308660 210100 - Virke Landsoverenskomsten
60001416;11,00733283;59,94728603;60001416 210100 - Virke Landsoverenskomsten
50347956;10,84189709;59,91383566;50347956 210100 - Virke Landsoverenskomsten
60005014;10,75000599;59,5774377;60005014 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50345957;11,14690624;60,08524028;50345957 210100 - Virke Landsoverenskomsten
50304945;11,36720825;61,13161443;50304945 210100 - Virke Landsoverenskomsten
50304293;10,43419666;59,83668167;50304293 210100 - Virke Landsoverenskomsten
50009778;14,9129362;68,56724985;50009778 213100 - Virke Bok og Papiravtalen
50252419;10,2477434;59,69840283;50252419 210100 - Virke Landsoverenskomsten
